,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
433,GUN OFFENDER DUTY TO REGISTER - L1524164,1,,,
434,GUN OFFENDER DUTY TO REGISTER - L1524168,1,,,
435,GUN OFFENDER DUTY TO REGISTER - L1524169,1,,,
436,GUN OFFENDER DUTY TO REGISTER - L1524173,1,,,
437,GUN OFFENDER DUTY TO REGISTER - L1524201,1,,,
438,GUN OFFENDER DUTY TO REGISTER - L1524944,1,,,
439,GUN OFFENDER DUTY TO REGISTER - L1536342,1,,,
440,GUN OFFENDER DUTY TO REGISTER - L1536362,1,,,
441,GUN OFFENDER DUTY TO REGISTER - L1536363,1,,,
442,GUN OFFENDER DUTY TO REGISTER - L1536364,1,,,
443,GUN OFFENDER DUTY TO REGISTER - L1536365,1,,,
444,GUN OFFENDER DUTY TO REGISTER - L1536366,1,,,
445,GUN OFFENDER DUTY TO REGISTER - L1536369,1,,,
446,GUN OFFENDER DUTY TO REGISTER - L1566761,1,,,
447,GUN OFFENDER DUTY TO REGISTER - L1566762,1,,,
448,GUN OFFENDER DUTY TO REGISTER - L1566765,1,,,
449,GUN OFFENDER DUTY TO REGISTER - L1566766,1,,,
450,GUN OFFENDER DUTY TO REGISTER - L1566768,1,,,
451,GUN OFFENDER DUTY TO REGISTER - L1566921,1,,,
452,GUN OFFENDER DUTY TO REGISTER - L1566925,1,,,
453,GUN OFFENDER DUTY TO REGISTER/1-403-256,1,,,
454,GUN OFFENDER DUTY TO REPORT - L1467563,1,,,
455,GUN OFFENDER DUTY TO REPORT - L1467564,1,,,
456,GUN OFFENDER REGISTRATION,1,,,
457,GUN OFFENDER: ANNUAL REGISTRATION,1,,,
458,HABITUAL CRIMINAL/2 PRIOR CL X-TZ438391,1,,,
459,ILLEGAL POSS WEAPON BY FELON,1,,,
460,INITIAL GUN OFFENDER REGISTRAT - L1455631,1,,,
461,INITIAL GUN OFFENDER REGISTRAT - L1524602,1,,,
462,INITIAL GUN OFFENDER REGISTRAT - L1553242,1,,,
463,INITIAL GUN OFFENDER REGISTRAT - L1566339,1,,,
464,IVC - LEAVE SCENE OF ACCIDENT,1,,,
465,KIDNAPPING - SECRETLY CONFINE,1,,,
466,KNOW DAMAGE PROP >$300-10K,1,,,
467,LEAVING THE SCENE   SH089106,1,,,
468,MACHINE GUN/AUTO WEAPON/SCH/PK,1,,,
469,MANSLAUGHTER - INVOLUNTARY - F,1,,,
470,MANU/DEL CANNABIS/500<2000 GR,1,,,
471,METH - METHAMPHETAMINE DELIVER,1,,,
472,METH - POSSESSION OF METH/15<1,1,,,
473,MFG 10>15 PILLS ECSTASY/ANALOG,1,,,
474,MFG 50-100 GR DIHYDROCODEINE,1,,,
475,MFG 50-100 GR OXYCODONE,1,,,
476,MFG 5>15 GRAMS ECSTASY/ANALOG,1,,,
477,MFG/DEL 100<400 GR HERO/ANLG,1,,,
478,MFG/DEL 100<400 GRAMS COCAINE/,1,,,
479,MFG/DEL 15<100 GR FENTANYL,1,,,
480,MFG/DEL 1<15 GR FENTANYL/ANLG,1,,,
481,MFG/DEL 1<15 GR HEROIN/ANALOG,1,,,
482,MFG/DEL 400<900 GRAMS COCAINE/,1,,,
483,MFG/DEL 50-200 GR BARB/ANALOG,1,,,
484,MFG/DEL BARB ACID/SC/PUB HS/PK,1,,,
485,MFG/DEL CANNABIS/500<2000 GR,1,,,
486,"MFG/DEL CANNABIS/>5,000 GRAMS",1,,,
487,MURDER/INTENT TO KILL/INJURE,1,,,
488,OBSTRUCTING IDENTIFICATION,1,,,
489,PCS - MFG - POSSESS ANY SUBSTA,1,,,
490,PCS - MFG/DEL - LOOK ALIKE SUB,1,,,
491,PCS - POSSESSION - 15>200 PILL,1,,,
492,POSS CAN/>100-500 GRAMS/1ST,1,,,
493,POSS FIR FOID EXPIRED/NOT ELIG,1,,,
494,POSS FIREARM,1,,,
495,POSS FIREARM FOID EXPIRED,1,,,
496,POSS FIREARM REPEAR FEL OFFEN,1,,,
497,POSS FIREARM REPEAT FEL OFFEN ARM HABITUAL),1,,,
498,POSS FIREARM REPEAT FELONY OFFENDER,1,,,
499,POSS FIREARM/EXPL PENAL INST,1,,,
500,POSS FIREARM/LAND/GANG MBR,1,,,
501,POSS FIREARM/NO FOID/ELIGIBLE,1,,,
502,POSS OF FIREARM AMMUNITION WITHOUT FOID CARD,1,,,
503,POSS OF FIREARM W/O REQUISITE FIREARM,1,,,
504,POSS STOLEN TITLE/CERTIF/PLATE,1,,,
505,POSS TITLE/REGISTRATION NOT AU,1,,,
506,POSS/TRANSP/RECD FRAME,1,,,
507,POSSESION OF A FIREARM BY REPEAT FELONY OFFENDER,1,,,
508,POSSESION OF A STOLEN FIREARM,1,,,
509,POSSESS 15+ GRAMS COCAINE,1,,,
510,POSSESS FIREARM,1,,,
511,POSSESS FIREARM PROJECTILE,1,,,
512,"POSSESS OF A LASER SIGHT ACC, FIREARM SILENCER, MUFFLER",1,,,
513,"POSSESS OF A LASER SIGHT, ACC, FIREARM SILENCER MUFFLER",1,,,
514,"POSSESS STOLEN VEHICLE > $25,0",1,,,
515,POSSESS/TRANSPORT FIREARM WITH NO SERIALNUMBER,1,,,
516,POSSESSES ASSAULT WEAPON,1,,,
517,POSSESSION  OF A STOLEN FIREARM,1,,,
518,POSSESSION OF A CONCEALED CARRY FIREARM WHILE INTOXICATED,1,,,
519,POSSESSION OF A FIREARM WHILE FOID REVOKED,1,,,
520,POSSESSION OF A WEAPON BY FELON,1,,,
521,POSSESSION OF ASSAULT WEAPONS - L1467121,1,,,
522,POSSESSION OF CONTROLLED SUBSTANCE,1,,,
523,POSSESSION OF FIREARM REVOKE FOID,1,,,
524,POSSESSION OF FIREARM WITH REVOKED FIREARM OWNERS IDENTIFIFCATION CARD,1,,,
525,POSSESSION OF METH/100<400 GR,1,,,
526,POSSESSION OF REPLICA FIREARM/PAINT PELLET GUN,1,,,
527,POSSESSION OF REPLICA FIREARM/PELLET/PAINT PELLET GUN,1,,,
528,POSSESSION OF UNSERIALIZED FIREARM,1,,,
529,POSSESSION OF UNSERIALIZED WEAPON (GHOST GUN),1,,,
530,POSSESSISON OF FIREARM WITHOUT REQUISITE  FIREARM OWNER'S ID,1,,,
531,PRED CRIM SEX ASLT/VICTIM <13,1,,,
532,RECKLESS DISCHARGE FIREARM - P,1,,,
533,RECKLESS DISCHARGE OF A FIREARM,1,,,
534,RECKLESS DISCHARGE OF FIREARM,1,,,
535,RESIST PEACE OFFICER,1,,,
536,ROBBERY,1,,,
537,ROBBERY - AGG ROBBERY/INDICATE,1,,,
538,ROBBERY - ARMED - DISCHARGE FI,1,,,
539,SOLICITATION AT ACCIDENT OR DISABLEMENT SCENE,1,,,
540,THEFT STOLEN INTENT $300<10K,1,,,
541,THEFT/STOLEN/>$10K <$100K,1,,,
542,TRANSPORTED A CONCEALED FIREARM WHILE UNDER THE INFLUENCE OF ALCOHOL,1,,,
543,UNAUTHD POSS/STORAGE/WEAPONS,1,,,
544,UNAUTHORIZED USE OF A WEAPON,1,,,
545,UNLAWFUL CLOUDING OF TITLE/2+,1,,,
546,UNLAWFUL MANUFACTURE OR DELIVERY OF CANNABIS <500,1,,,
547,UNLAWFUL OSSESSION OF A FIREARM FELONY OFFENDER,1,,,
548,UNLAWFUL POSS OF A WEAPON BY FELON,1,,,
549,UNLAWFUL POSS OF WEAPON BY FELONS,1,,,
550,UNLAWFUL POSS OF WEAPON- NO FOID OR CCL,1,,,
551,UNLAWFUL POSS OFCANNABIS/2.5-10,1,,,
552,UNLAWFUL POSS WEAPON,1,,,
553,UNLAWFUL POSSESION OF A FIREARM BY A REPEAT OFFENDER,1,,,
554,UNLAWFUL POSSESS FIREARM BY REPEAT FELONY OFFENDER,1,,,
555,UNLAWFUL POSSESSION OF A FIREARM BY A REPEAT FELON,1,,,
556,UNLAWFUL POSSESSION OF A FIREARM BY A REPEAT FELONY OFFENDER,1,,,
557,UNLAWFUL POSSESSION OF A WEAPON BY A FELON,1,,,
558,UNLAWFUL POSSESSION OF A WEAPON BY FELON ( MACHINE GUN),1,,,
559,UNLAWFUL POSSESSION OF FIREARM AMMUNITION,1,,,
560,UNLAWFUL POSSESSION OF FIREARM BY FELON,1,,,
561,UNLAWFUL POSSESSION OF FIREARM BY OFFICER,1,,,
562,UNLAWFUL POSSESSION OF FIREARM-VEHICLE LOADED NP FOID,1,,,
563,UNLAWFUL POSSESSION OF FIREARMS,1,,,
564,UNLAWFUL POSSESSION OF WEAPON BY FELON,1,,,
565,UNLAWFUL POSSESSION OF WEAPON BY FELON (MACHINE GUN),1,,,
566,UNLAWFUL POSSESSION OF WEAPONS BY FELON,1,,,
567,UNLAWFUL POSSESSION OF WEAPONS BY FELONS OR PERSONS,1,,,
568,UNLAWFUL USE BLACK-JACK/KNIFE,1,,,
569,UNLAWFUL USE OF A WEAPON BY A FELON,1,,,
570,UNLAWFUL USE OF A WEAPON FELON,1,,,
571,UNLAWFUL USE OF A WEAPON-MACHINE GUN / AUTOMATIC WEAPON,1,,,
572,UNLAWFUL USE OF A WEAPON-PUBLIC STREET,1,,,
573,UNLAWFUL USE OF WEAPONS / FIREARM / 1ST,1,,,
574,UNLAWFUL USE OF WEAPONS /RIFLE <16 IN/SHOTGUN <18 IN,1,,,
575,UNLAWFUL USE WEAPON,1,,,
576,UNLAWFUL USEWEAPON,1,,,
577,UNLWFL POSS 3+ CR/DEBIT CARDS,1,,,
578,UNLWFL POSS CANNABIS/DRIVER/ TZ047757,1,,,
579,UNLWFL POSS CANNABIS/DRIVER/ TZ151487,1,,,
580,UNLWFL POSS FIREARM PROJECTILE,1,,,
581,UNLWFL POSS FIREARM/<18,1,,,
582,UNLWFL POSS FIREARM/FELON,1,,,
583,UNLWFL POSS>3VEH/PARTS/STOLEN,1,,,
584,UNLWFL USE ARMOR PIERCE BULLET,1,,,
585,UNLWFUL USE OF WEAPONS / VEHICLE,1,,,
586,UPW - FELON POSSES WEAPON,1,,,
587,UPW / POSSESS FIREARM WITHOUT VALID FOID CARD/ ELIGIBILITY,1,,,
588,UPW FELON- AMMO.,1,,,
589,UPW-FELON,1,,,
590,UU-WEAPON-CARRY/POSSESS FIREARM/1ST,1,,,
591,UUW -  WEAPON - AGG./VEH. OR C - TX091927,1,,,
592,UUW -  WEAPON - FELON/POSSESS,1,,,
593,UUW -  WEAPON - PUBLIC STREET,1,,,
594,UUW -  WEAPON - PUBLIC STREET- TZ123190,1,,,
595,UUW -  WEAPON - PUBLIC STREET/ALLEY/LANDS,1,,,
596,UUW -  WEAPON / SILENCER - SCH,1,,,
597,UUW - BY  FELON,1,,,
598,UUW - BY FELON,1,,,
599,UUW - UNLAWFUL POSSESSION OF A HANDGUN,1,,,
600,UUW - WEAPON - BOMB/BOMBSHELL/,1,,,
601,UUW - WEAPON - CARRY/POSSESS FIRST OFFENSE,1,,,
602,UUW - WEAPON - FELON POSSES WE /TV581882,1,,,
603,"UUW - WEAPON - FELON, POSSESS/ TX237220",1,,,
604,UUW - WEAPON -FELON POSS/USE FIREARM PRIOR,1,,,
605,UUW -PUBLIC STREET/ALLEY/LANDS,1,,,
606,UUW BY FELON,1,,,
607,UUW FELON,1,,,
608,UUW FIRARM-UNLAWFUL POSSES FIREARM,1,,,
609,"UUW WEAPON FELON, POSSESS/USE FIREARM",1,,,
610,UUW WEAPON MACHINE GUN,1,,,
611,UUW WEAPON PUBLICE STREET/ALLEY/LANDS,1,,,
612,UUW WEAPON RIFLE<16IN-SHOTGUN<18IN,1,,,
613,UUW- UNLAWFUL POSSES HANDGUN,1,,,
614,UUW- WEAPON PUBLIC STREET,1,,,
615,UUW- WEAPON- CARRY/POSSESS FIREARM/ 1ST,1,,,
616,UUW-FAILURE TO REGISTER FIREARM,1,,,
617,UUW-MICHINE GUN,1,,,
618,UUW-NO FOID/NO CCL,1,,,
619,UUW-POSSESS FIREARM WITHOUT VALID FOID CARE,1,,,
620,UUW-WEAPON -CARRY-POSSESS FIREARM 1ST,1,,,
621,UUW-WEAPON -PUBLIC STREET/ALLEY/LAND,1,,,
622,UUW-WEAPON MACHINE GUN/ AUTOMATIC WEAPON,1,,,
623,UUW-WEAPON PUBLIC STREET,1,,,
624,UUW-WEAPON-CARRY/POSSES FIREARM/ 1ST,1,,,
625,UUW-WEAPON-FELON POSS WEAPON BODY ARMOR,1,,,
626,"UUW-WEAPON-FELON, POSSESS/ USE FIREARM",1,,,
627,"UUW-WEAPON-FELON,POSSESS/USE FIREMAN",1,,,
628,UUW-WEAPON-MACHINE GUN/AUTOMATIC WEAPON,1,,,
629,UUW-WEAPON-PUBLIC STREET/ALLEY /LANDS,1,,,
630,UUW-WEAPON-RILFE<16 IN-SHOTGUN<18 IN,1,,,
631,UUW-WEAPON/MACHINE GUN/AUTO WEAPON/VEH,1,,,
632,UUW/LOADED/NO FCCA/FOID,1,,,
633,UUW/VEHICLE/LOADED,1,,,
634,Uuw-WEAPON PUBLIC STREET/ALLEY/LANDS,1,,,
635,VEHICULAR HIJACKING,1,,,
636,VIOL SEX OFFENDER REGISTRATION,1,,,
