,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
91,AGG UUW/VEH/UNLOAD/NO FCCA/2+,9,,,
92,AGGRAVATED UNLAWFUL USE OF A WEAPON,9,,,
93,BURGLARY,9,,,
94,POSSESS FIREARM FOID EXPIRED,9,,,
95,UUW -  WEAPON - POSS/CARRY/CON,9,,,
96,AGG UUW/PERSON/UNLOADED/AMMO,8,,,
97,AGG UUW/VEHICLE/NO FOID/2+,8,,,
98,FELON POSS MACHINE GUN,8,,,
99,MFG/DEL15<100 GR CACA/ANALOG,8,,,
100,PCS - POSSESSION - POSS AMT CO,8,,,
101,AGG BATTERY/DISCHARGE FIREARM,7,,,
102,AGG UUW/PERSON/LOADED FIR/2+,7,,,
103,AGG UUW/VEHICLE/LOADED FIREARM,7,,,
104,AGGRAVATED UNLAWFUL POSSESSION OF A WEAPON,7,,,
105,FIREARM/FOID INVALID/NOT ELIG,7,,,
106,MFG/DEL CANNABIS/30-500 GRAMS,7,,,
107,POSSESS FIREARM FOID EXPIRED/N,7,,,
108,AGG UPW/VEHICLE/NO FOID/2+,6,,,
109,AGG UUW/VEHICLE/CM VIOLATION,6,,,
110,CARRY POSSESS FIREARM PUB/2ND,6,,,
111,CARRY/POSS FIREARM PUBLIC/SCH,6,,,
112,MFG/DEL15<100 GR HEROIN/ANLG,6,,,
113,MURDER - FIRST DEGREE,6,,,
114,RECK DISCH FIREARM/ENDANGERS,6,,,
115,UUW -  WEAPON - CARRY/POSSESS,6,,,
116,UUW - WEAPON - FELON POSS WEAP,6,,,
117,AGG UPW/VEH/LOADED FIREARM/2+,5,,,
118,AGG UUW/ON PERSON/2ND,5,,,
119,AGG UUW/PERS/LOADED/NO FCCA/2+,5,,,
120,GUN OFFENDER DUTY TO REGISTER AND TO VERIFY,5,,,
121,MFG/DEL 15<100 GR COCA/ANALOG,5,,,
122,RIFLE <16 IN/SHOTGUN <18 IN,5,,,
123,ROBBERY - ARMED W/ FIREARM,5,,,
124,AGG UNLWFL USE WEAPON/PERS/2+,4,,,
125,AGG UPW/PERS/LOADED FIREARM/2+,4,,,
126,AGG UPW/PERSON/NO FOID,4,,,
127,AGG UPW/VEH/AMMO/NO FCCA,4,,,
128,AGG UPW/VEHICLE/<21,4,,,
129,AGG UUW/PERSON/PREV CONVICTION,4,,,
130,AGG UUW/VEHICLE/CM THREAT VIOL,4,,,
131,AGGRAVATED UNLAWFUL USE OF WEAPON,4,,,
132,FELON POSS WEAPON/BODY ARMOR,4,,,
133,IVC - AGG FLEEING/POLICE/21 MP,4,,,
134,PCS - MFG/DEL 1<15 GR HEROIN/A,4,,,
135,PCS - POSSESSION - 15+GRMS - C,4,,,
136,POSS/TRANSP/RECD FRAME/2ND+,4,,,
137,POSSESS ARMOR PIERCE BULLET,4,,,
138,RESISTING/OBSTRUCT/PC OFF/CORR,4,,,
139,UNLAWFUL POSSESSION OF A WEAPON,4,,,
140,UNLAWFUL USE OF WEAPON,4,,,
141,UNLAWFUL USE OF WEAPON BY FELON,4,,,
142,UNLAWFUL USE OF WEAPONS,4,,,
143,UUW - MACHINE GUN/AUTO WEAPON/,4,,,
144,UUW - WEAPON - CARRY /POSSESS,4,,,
145,AGG UNLAWFUL USE OF A WEAPON,3,,,
146,AGG UNLAWFUL USE OF WEAPON,3,,,
147,AGG UPW/PERS/LOADED/NO FCCA/2+,3,,,
148,AGG UUW,3,,,
149,AGG UUW W/ BODY ARMOR/NO FOID,3,,,
150,AGG UUW W/ BODY ARMOR/PRIVATE,3,,,
151,AGG UUW/PERSON/<21/2+,3,,,
152,AGG UUW/PERSON/CM THREAT VIOL,3,,,
153,AGG UUW/VEH/CM VIOLATION/2+,3,,,
154,AGGRAVATED BATTERY/VICTIM 60+,3,,,
